date,comments
2021-01-11,Alberto Cabrera “que la rusa sea más efectiva”... nunca afirme tal cosa. Pero gracias por la info.
2021-01-11,Primero que el presidente se coloque la primera vacuna y de ahí la población confiara
2021-01-11,"jiji, se pondrá agua pero no la vacuna"
2021-01-11,"Si es tan efectiva, q se vacunen ellos, el pueblo nolo necesita, tenemos med natural, diox de CL, dimetil sulfoxido, etc"
2021-01-11,"disculpe! No sra ignorante, pues el dioxido de cloro..dimetil..etc son productos químicos y no naturales.."
2021-01-11,"HAY QUE DECIRLE A LA GENTE SOBRE LOS EFECTOS SEGUNDARIOS, Y QUE ELLOS DECIDAN SI PONERSELO O NO. ...""La universidad de Miami, ha dicho que se debe congelar el esperma de los varones que han de ser vacunados, porque Pfayser dice que desconoce el im… Ver más"
2021-01-11,"DRA NATALIA PREGO, SOBRE LO QUE HACEN LLAMAR ""VACUNA"""
2021-01-11,"DRA NATALIA PREGO, SOBRE LO QUE HACEN LLAMAR ""VACUNA"""
2021-01-11,"DRA NATALIA PREGO, SOBRE LO QUE HACEN LLAMAR ""VACUNA"""
2021-01-11,Yo me vacunare estoy seguro gracias Rucia no tengo miedo a la vacuna
2021-01-11,Que bueno que sea voluntario asi es mejor nadie le hecha la culpa a nadie todos somos responsables de nosotros mismos
2021-01-11,"Es un producto Ruso, a fin de cuentas el que quiere estar inmune se vacuna."
2021-01-11,Y contra la nueva cepa?
2021-01-11,Que todos los políticos se pongan primero y si no les pasa nada los bolivianos se pondrán pero primero el presidente
2021-01-11,"Que va decir, es ruso y tiene que defender sus intereses"
2021-01-11,"Que el Presidente sea el primero en vacunarse, junto con su gabinete."
2021-01-11,Seis mil dosis ni para un barrio.
2021-01-11,6000 me parece que son muy pocas
2021-01-11,Ah si? Y ya se vacunó Putin?
2021-01-11,Santa cruz conejillo de indias.
2021-01-11,si brro nosotros usaremos las vacunas y tú puedes ir con los respiradores de Añez 🤣
2021-01-11,Negocios?? Si la vacuna es gratuita
2021-01-11,NO A LA VACUNA ASESINA!!!! VENGA DE QUIEN VENGA
2021-01-11,Mi amigo waldo urgente inviame tu numero que has canbiado tu numero
2021-01-11,bueno que primero los inyecten a los del gobierno
2021-01-11,La vacuna Sputnik V suma controversias: un líder cercano a Putin adelantó que no la usaría y un país africano la administrará solo en etapa experimental
2021-01-11,La vacuna Sputnik V suma controversias: un líder cercano a Putin adelantó que no la usaría y un país africano la administrará solo en etapa experimental
2021-01-11,La vacuna Sputnik V suma controversias: un líder cercano a Putin adelantó que no la usaría y un país africano la administrará solo en etapa experimental
2021-01-11,Tan eficaz como el Avifavir si como no
2021-01-11,Panadero alaba su pan 😅
2021-01-11,woaooo 6000.... el logro del año....
2021-01-11,Han hecho pruebas pues animal....
2021-02-02,"Antes de opinar infórmense! hasta antes de ayer esta vacuna era un misterio para el mundo nunca se publicaron sus procedimientos ni sus protocolos, o sea si ! desde ayer si se puede usar con confianza, después una investigación científica internacional confiable."
2021-02-02,oye más despacio cerebrito..
2021-02-02,"Bueno... Si ya tiene estudios en la fase 3, entonces es segura. Sin embargo la calidad y la manipulación de la misma es algo que se debe observar con Lupa, personalmente no creo que una vacuna se vaya a fabricar igual a al otra, el proceso de fabricación requiere una un control de calidad exigente, siendo el gobierno ruso un régimen autoritario lo más probable es que no le den la misma importancia a vacunas que vayan a Europa o Asia, que a América del Sur o África, ojala sea de la eficiencia que dicen y no vaya propiciando resultados adversos, como efectos secundarios o mutaciones más agresivas del virus."
2021-02-02,"este lary, hijo de Evo no reconocido, sigue resentido"
2021-02-02,"has leído al menos hasta el final burro??!! Ya lo ignoraste y solo te leíste la primera parte... Si es un poco mucho para gente como usted, pero le aseguro que de ninguna forma apoyo al MAS, al contrario pienso que son una plaga de ign… Ver más"
2021-02-02,"silencio lary, mira tu cara tus rasgos, no te equivoques. Masillama hijo de Evo, lea su apellido"
2021-02-02,"Ni face tres ni face elevada al infinito !! No nos garantizan !! Estsmos obligados a correr el riesgo !!!! Lo extraño que no se ocuparon de investigar la medicina, o la cura no ???? Segun los de las farmaceuticas tenia desde hace años sus condimentos ??? Para volando sacar dizque la.vacuna !! Terriblemente raro."
2021-02-02,Ahora me debo sentir más tranquila porque Kiko Pitita nos dio su visto bueno?
2021-02-02,"Uf menos mal, todos estábamos esperando su aprobación"
2021-02-02,Entonces ahora es verdad ....
2021-02-02,"deberías ser más coherente ya que eres del área de salud! Todos tuvieron recelo de la vacuno porque comenzó a ser utilizado sin completar en mínimo de tests, al igual que otras vacunas! Se aplaude su efectividad y el mundo se beneficiará! Pero se"
2021-02-02,Nota tu comentario socialista sin senso hugo...
2021-02-02,"si el mismo personal de salud no entiende que el que la vacuna no haya completado todas las etapas de investigación lo cual haya generado miedo previamente hasta estos días que recien se publicó el estudio, que puedes esperar de que el resto de población entienda??? Peor aún gente que no vive en Bolivia comentando, ya quisiera ver si estuviesen acá trabajando al día a día y viendo la realidad en la que estamos, es fácil tener comentarios cuando uno está lejos, una pena amigo que ni los médicos podamos ser más científicos"
2021-02-02,"realmente es una pena! Ser personas de ciência y aún así no razonar y terminar politizando un tema de salud! Somos llamados a informar y concientizar a la población , no a desinformar y vanalizar algo tan serio y pintarlo político..."
2021-02-02,"exacto amigo!! Y peor aún burlarte de alguien que al menos publica cosas y habla co propiedad con evidencia, no como la mayoría de políticos acá 😭😭😭 una pena estamos"
2021-02-02,"ya vi al transgenico diciendo que el médico que quiere hacer política que renuncie a su condición de médico, en alusión al Dr Larrea! Pero eso no comentan !! Ósea es una hipocresía total... todo a conveniencia como sabemos!"
2021-02-02,Bueno viejo que te puedo decir ......
2021-02-02,si lo valida tuto no volveré a opinar sino la sgte me dirás masista... 😅
2021-02-02,Respeto sus opiniones de verdad ...
2021-02-02,"Pero como profesionales de salud tendrían que ser más neutrales, nada más."
2021-02-02,"Puedo entender a un político que opine algo básico como socialista, capitalista, comunista e incluso masista. Total son políticos, pero como profesiones de la salud..."
2021-02-02,Tendrían que privar los datos médicos objetivos y ahora que lo pone THE LANCET casualmente todos los que la desprestigiaban corren a validarla.
2021-02-02,"Cuando toda esa información médica está a la mano desde prácticamente diciembre...... (objetiva, neutral, en sí médica médica, pero creo que nadie se leyó siquiera los estudios y meten miedo, dicen se saltaron fases claro y los demás por no ser de países socialistas no se saltaron? Lo hicieron todos ...)"
2021-02-02,Su efectividad esta probada desde hace ya además que el tipo de tecnología en la que se basa tiene muchos años y es segura se sabe desde haceeee yaaa.
2021-02-02,"Para esto no tengo que ser de la zona sur, no tengo que ser médico, tampoco especialista sino simplemente quitarme mis pre-criterios políticos que ahora no se está para ello. PRIMAN OTRAS COSAS MUCHO MÁS IMPORTANTES, pero como ahora lo válida tuto tendremos que darle valor a la vacuna."
2021-02-02,"Por mis vecinos de la zona sur..... Que pueden pensar la pobre gente, porque es gente pobre.... si ya le van metiendo miedo sus médicos, sus políticos, la redes sociales con bombardeos de noticias sesgadas ...... 😒😒"
2021-02-02,No se... creo que NO digo un disparate.
2021-02-02,Y gracias por lo de socialista sin senso.... pero no es mi línea política.....
2021-02-02,"si vês un poquito en relación a la historia de las vacunas , esa tecnología que está desde yaaa como tú dices no es solo de los rusos , todas las empresas fabricantes de vacunas tienen, y son “obligatorias” las etapas de teste y demostrar la eficacia de las mismas, como estamos en pandemia se pidió un mínimo de 3 fases para uso EMERGENCIAL en carácter excepcional, entonces si hay una empresa que se salta las reglas del juego, quiere vacunar solo con 2 etapas, despierta escepticismo no solo en el mundo científico! Todas las personas que tienen senso y leen un poco el periódico saben que Rusia quiso saltar etapas obligatorias.En fin ahora que salió la 3ra etapa celebramos el resultado, reglas claras y resultados en beneficio de la población. Ahora desinformar a lós pobrecitos de la zona sur? Es solo leer un poco y tener 2 dedos de frente, nose si eres masista o no, pero tu tinte político es marcadisimo en cada comentario."
2021-02-02,Ronald si no te gusta lo siento ....
2021-02-02,pero no es el lugar.
2021-02-02,"No dejaré de ejercer mi libertad de expresión, si quiero reírme de algo que me causa risa. Lo siento .... continuaré riéndome aquí, en bolivia y en la china popular."
2021-02-02,Si quieres envíame un mensaje y te paso los links.... y lo revisamos.
2021-02-02,Y podemos conversar y debatir pero los comentarios no son un chat de disputa...
2021-02-02,Si mis comentarios tienen tinte político simplemente pon que no te gusta y ya está o pasa del tema no me tienes respondiendo a todas las cosas que no me gustan.... Yo me rio (para mi de un payaso) no lo hago de ti eres tú que se pone como se pone.
2021-02-02,"Y con esto acabo, si tuviera que tratar de convencer a todos nunca podría decir lo que pienso..."
2021-02-02,"Y creo que esto se trata de disentir educadamente sin faltar el respeto a nadie .... ni los ricos, ni los pobres, ni los blancos, ni los negros, ni a los católicos, ni a los ateos, ni a los de la zona sur, norte, hemisferio norte ni hemisferio sur ..."
2021-02-02,Y para finalizar viejo. Un saludo cualquier cosa escríbeme un mensaje y lo comentamos abiertamente y seguro que estaremos en desacuerdo en muchas cosas pero también muchas que seguramente si...
2021-02-02,Y no quiere decir que sea algo personal.
2021-02-02,"Creo, que ni tú ni yo vivimos de la política..."
2021-02-02,Pero siempre me gusto decir lo que pienso le moleste a quien le moleste explicando mis razones...
2021-02-02,Y yo lo continuaré haciendo ....
2021-02-02,claro! No estoy quitándote la
2021-02-02,"Libertad de expresión ni mucho menos, al ser un post político en el cual comentamos obviamente existe tinte político de por medio! Que una persona apoye algo que al início no estaba de acuerdo es loable! Y es información también, como los pobrecitos de la no zona sur, tan desinformados que no utilizan barbijo, no creen en el coronavirus, no saben leer... no tienen dirigentes que les informen y digan que está bien y está mal, extraño que sólo crean a la tele y medios de comunicación y no a sus dirigentes! Queda claro al decir “aquí acabo” debatamos en privado, aquí no es el lugar... porque no? Es algo público , mi derecho y mi libertad de expresión! Si no te gusta no respondas, es tu derecho, al final uno está hablando de ciência y el otro de política, entonces no con concordariamos nunca..."
2021-02-02,"Entiendo que hay muchas cosas que iríamos a debatir y concordariamos, ciertamente políticas de estado y Victimismo del socialismo no es una de ellas amigo, un saludo y cuídate mucho!"
2021-02-02,Para mi no es el lugar
2021-02-02,🏃🏻‍♂️🏃🏻‍♂️🏃🏻‍♂️
2021-02-02,Con esto espero acabar entonces 😅
2021-02-02,Por mi comentario tendría que debatir contigo si tuto es o no un payaso 🤡 nada mas.....
2021-02-02,"Fuiste tu que mezclo la zona sur, el socialismo y si lees hacia arriba muchas más cosas.... que ni mencionaré..."
2021-02-02,Pienso que mezclar papas con tomates para opinar de choclos seriamente. No es lo adecuado...
2021-02-02,Pero si quieres que sea público.... bueno
2021-02-02,"Quieres info médica que tengo de la vacuna escríbeme por mensaje y te la remito, quieres debatir de la zona sur pues avísame que iniciamos un buen chat, quieres hablar de socialismo o de capitalismo por mi no problema."
2021-02-02,Pero eso cada cosa en su sitio que mezclar es sinónimo de intentar justificarse... o reivindicar.
2021-02-02,Quedo a tu disposición viejo.... 😅
2021-02-02,Pero lo dicho sin mezclar las cosas que sino esto no se acaba jamas 😅.
2021-02-02,"tranquilo, entiendo que quieras llevar en privado algo que claramente en público no quedaste bien parado... tranquilo sin rencores."
2021-02-02,"Puedes verlo de la manera que tú quieras, allí no entro."
2021-02-02,En las concepciones propias es imposible opinar. … Ver más
2021-02-02,Saben los requisitos para publicar en una revista científica de renombre? Estudien un poquito es un gran paso para esa vacuna.
2021-02-02,Ojo no soy Masista e igual desconfiaba de esa vacuna por no tener una evaluación científica fidedigna.
2021-02-02,"No se diga más, denle el nobel a nuestro asesor científico Tuto Quiroga y gracias por su aprobación la esperábamos con ansias 😂😂"
2021-02-02,El quico científico de bolivia jajaja
2021-02-02,por lo menos Lee y se informa
2021-02-02,siii por lo menos eso sabe jajaj
2021-02-02,los masis ni a eso llegan lamentablemente :v
2021-02-02,no hables por ti pues tranquila
2021-02-02,"muestra clara del analfabetismo masista, ni entender un párrafo logran éstos asnos 🤣"
2021-02-02,otro masiburro con ese GIF 🤣
2021-02-02,"porque ese resentimiento, el tuto es tu marido oh que, das pena solo sabes insultar"
2021-02-02,Decir que el masista promedio no terminó el colegio? Decir las verdades no es insultar azulito si?
2021-02-02,Pena dan ustedes que solo son escaleras para el gobierno
2021-02-02,Y el tuto si es profesional no un falso licenciado ni dirigente cocalero
2021-02-02,"solito se responde el masi 🤣, le duele sus verdades 🤣"
2021-02-02,y ustedes solo son sus perritas faalderas de todos eses disque profecionales que no supieron hacer nada por Bolivia asi como tu supuestamente son estudiosos y todo lo demás? Jajjajaja ustedes si dan pena ajena y para que sepas a una persona no le ase un papel que se llama título sonso ignorante
2021-02-02,"🤣 así mismo, son las perras del evo, poco más es una deidad para ustedes, también son una punta de ignorantes que ni al colegio fueron ejemplo claro tú y tú ortografía,🤣 y tampoco hicieron nada por Bolivia, más bien se dedicaron a saquear el estado como el fondo indígena, YPFB taladros, compraron un satélite con sobreprecio al igual que las barcazas chinas y te puedo mencionar 100 casos de corrupción más de lo que hizo tu gobierno delincuente masista, te quedó como anillo al dedo tu párrafo :v"
2021-02-02,"Se dan cuenta de éstos "" intelectuales"" de cuarta . Una pena la opolandia"
2021-02-02,"exacto, me acordar al LICENCIADO García Rosa linera :v"
2021-02-02,Si está segura de lo que dice denuncié y con pruebas
2021-02-02,eres o te haces masi? De qué tendría que tener pruebas? 🤣
2021-02-02,De que 3x90 no es 180? 😆 O cuál es el problema? :V
2021-02-02,Ya dio su permiso para que usen la vacuna sputnik 🤣🤣🤣🤣🤣....
2021-02-02,Nadie necesita la aprobación de este tipo que fue artífice del golpe de estado y a consecuencia de ello murió mucha gente
2021-02-02,toma un huesito 🦴mi fiel y noble mula
2021-02-02,pobre changuito debes estar triste porque pronto este tipo estará tras las rejas
2021-02-02,"en que me afecta? Disfruta tu huesito, tienes que hacerlo durar todo febrero"
2021-02-02,", claro que te debe afectar, por eso defiendes a un tipo que en su vida gano alguna elección"
2021-02-02,quién lo está defendiendo? Solo te insulte por mula
2021-02-02,Este a todo quiere agarrar la oportunidad .
